size,catfriendly,easytraining,watchdog,grooming,coldtolerant,temperament,breed,pictureurl,care,energy,playfulness,dogfriendly,strangerfriendly,protection,heattolerant,exercise,affection,index,infourl
s,4,6,6,6,4,"The miniature Poodle is lively, amiable, playful, eager to please, responsive, smart and obedient, small wonder that he has remained one of the most popular varieties of dog for so long. He is sensitive, tending to be devoted to one person, and initially reserved with strangers. He is good with children, other pets and dogs. Some tend to bark a lot.",Poodle (Miniature),https://www.petfinder.com/images/breeds/dog/1550.jpg,"All Poodles need a lot of interaction with people. They also need mental and physical exercise. A brief but challenging obedience or play session, combined with a walk, should be part of every Poodle's day. Standard Poodles will need more exercise and may especially enjoy swimming. No Poodle should live outdoors. The show poodle should preferably be brushed every day or weekly for shorter coats. Poodle hair, when shed, does not fall out but becomes caught in the surrounding hair, which can cause matting if not removed. The pet clips are easier to maintain and can be done every four to six weeks.",5,6,5,5,2,4,4,5,115,https://www.petfinder.com/dog-breeds/Poodle-(Miniature)
s,2,3,6,2,2,"The Manchester terrier has been described as ""catlike,"" being impeccably clean, independent, reserved with strangers, yet sensitive. She is more responsive than many terriers and is generally a well-mannered house dog. She is devoted to her family, and enjoys napping at her special person's side. Otherwise, she is busy, ever nosing around for adventure or a game. Some tend to dig.",Manchester Terrier (Standard),https://www.petfinder.com/images/breeds/dog/1980.jpg,"This alert and active breed can have her exercise needs met with a moderate walk on leash, good romp in the yard or an off-lead foray in a safe area. This is not a breed that should live outdoors, although she appreciates access to a yard during the day. She likes a warm, soft bed. Coat care is minimal.",5,5,4,2,2,5,4,4,96,https://www.petfinder.com/dog-breeds/Manchester-Terrier-(Standard)
xl,4,3,4,4,5,"Aptly known as the gentle giant, the Irish Wolfhound is a soft-natured, easygoing breed. He is calm around the house, sensitive, patient, easygoing and sweet. Despite his great size, he is good with children, pets and other dogs. It can be reserved with strangers and courageous when the need arises.",Irish Wolfhound,https://www.petfinder.com/images/breeds/dog/1320.jpg,"The Irish Wolfhound enjoys a long walk and a chance to stretch its legs, so he needs daily exercise. At home the Wolfhound needs ample room to stretch out on a soft surface and should not be required to live in cramped quarters. He can develop callouses if allowed to lie on hard surfaces too often. His coat needs to be brushed or combed once or twice weekly, plus occasional slight scissoring to neaten up straggly hairs. Dead hairs should be stripped twice a year.",2,2,4,4,3,2,4,4,83,https://www.petfinder.com/dog-breeds/Irish-Wolfhound
xl,5,4,3,3,6,"The Saint Bernard needs daily exercise in order to stay fit. His requirements can be met with moderate walks and short runs, however. Overweight puppies are more prone to hip probleearms. He enjoys cold weather and does not do well in heat. This breed does best when allowed access to both house and yard. His coat, whether long or short, needs weekly brushing, more so when shedding. All Saints drool.",Saint Bernard,https://www.petfinder.com/images/breeds/dog/2500.jpg,"The calm, easygoing Saint Bernard is gentle and patient around children, although he is not particularly playful. He is devoted to his family and is willing to please, although at his own pace. He can be stubborn.",3,4,4,4,2,2,3,5,123,https://www.petfinder.com/dog-breeds/Saint-Bernard
s,4,2,6,5,4,"The Lhasa is an active dog, but his relatively small size makes it possible to meet his energy needs either with short walks or vigorous play sessions in the yard, or even home. The Lhasa makes a fine apartment dog. He is not suited for outdoor living. The long coat needs brushing and combing every other day.",Lhasa Apso,https://www.petfinder.com/images/breeds/dog/1530.jpg,"Despite his lap-dog appearance, the Lhasa is a tough character. He is independent, stubborn and bold. Although he is eager for a romp or game, he will be happy as long as he is given exercise. He will also happily snooze beside his owner. These characteristics make him an excellent small companion in adventure. He is somewhat reserved with strangers.",4,4,4,2,2,3,2,4,93,https://www.petfinder.com/dog-breeds/Lhasa-Apso
s,4,4,6,4,4,"The miniature schnauzer deserves his place as one of the most popular terrier pets. He is playful, inquisitive, alert, spunky and companionable. He is a well-mannered house dog that also enjoys being in the middle of activities. He is less domineering than the larger schnauzers. He is also better with other animals than most terriers, although he will gladly give chase. He is clever and can be stubborn, but he is generally biddable. He enjoys children. Some may bark a lot.",Miniature Schnauzer,https://www.petfinder.com/images/breeds/dog/2010.jpg,"This energetic breed can have his exercise requirements met with a moderate walk on leash or a good game in the yard. He needs to share his life with his family inside the home. His wire coat needs combing once or twice weekly, plus scissoring and shaping every couple of months.",4,5,4,4,2,4,4,5,101,https://www.petfinder.com/dog-breeds/Miniature-Schnauzer
s,3,5,5,4,4,"One of the few terriers bred to run with the pack, the border is one of the most amiable and tractable of the group. He is inquisitive, busy, friendly and biddable. He does like to hunt and can be independent, ingredients that make for a dog that may tend to roam if given the chance. He is generally good with other dogs and cats, but not with rodents. He is very good with children and makes a good companion for people of all ages. He digs, and some bark. Some are talented escape artists.",Border Terrier,https://www.petfinder.com/images/breeds/dog/1900.jpg,"The border likes activity and needs either a good walk on leash, a vigorous game session or an off-lead expedition in a safe area every day. He does best when allowed to divide his time between house and yard. His harsh coat needs brushing weekly, plus stripping of dead hairs about four times yearly to maintain his clean outline.",4,4,4,4,2,4,4,4,30,https://www.petfinder.com/dog-breeds/Border-Terrier
s,2,4,6,2,4,"The Jack Russell needs a lot of mental and physical stimulation every day. He is not a dog that can sit around inside. He needs a long walk or strenuous game every day, plus a short training session. He enjoys the chance to explore on his own, but he must do so only in a safe area because he tends to go off in search of trouble, and some go down holes and must be dug out! He does best when allowed access to a house and yard. Coat care for the smooth type consists only of weekly brushing to remove dead hair; for the broken coat he also consists of occasional hand stripping.",Jack Russell Terrier,https://www.petfinder.com/images/breeds/dog/1950.jpg,"This is a dog that thrives on action and adventure. In the process, he often finds himself in the middle of trouble. He is a true hunter at heart and will explore, wander, chase and dig when he gets a chance. He is very playful and intelligent. He gets along well with children and strangers. He does well with horses, but he may chase cats and is not good with rodents. He may tend to bark and dig. He makes an ideal companion for an active person with a good sense of humor who wants a lot of entertainment-and mischief-in one dog.",6,6,3,4,3,4,5,4,85,https://www.petfinder.com/dog-breeds/Jack-Russell-Terrier
s,5,5,4,4,4,"The cavalier needs a fair amount of exercise every day, either in the form of a moderate walk on leash or a romp in a safe area. This is not a breed that should live outdoors. His long coat needs brushing every other day.",Cavalier King Charles Spaniel,https://www.petfinder.com/images/breeds/dog/2150.jpg,"The cavalier in many ways fits the bill as an ideal house pet. He is sweet, gentle, playful, willing to please, affectionate and quiet. He is amiable toward other dogs, pets and strangers. Outdoors, his spaniel heritage kicks in, and he loves to explore, sniff and chase.",4,5,2,6,2,3,4,6,44,https://www.petfinder.com/dog-breeds/Cavalier-King-Charles-Spaniel
xl,6,4,4,4,6,"This easygoing dog needs daily exercise to stay fit, either in the form of a moderate walk or short romp. She loves to swim and pull, especially in Fcold weather. Some breeders contend that Landseers tend to be more active and need more exercise than solids. She does not do well in hot weather and should not be kept outside. She is best when allowed access to both house and yard, but needs lots of room inside to stretch out. Her coat needs combing twice weekly, more frequently when shedding. Newfs do drool and also tend to be messy drinkers.",Newfoundland,https://www.petfinder.com/images/breeds/dog/2470.jpg,"The most important single characteristic of the Newfoundland is sweetness of temperament. The Newfoundland is calm, patient, easygoing, gentle and amiable, a friend to all. If her family is threatened, however, the Newfoundland can act protectively.",3,4,5,6,5,2,3,6,102,https://www.petfinder.com/dog-breeds/Newfoundland
s,5,2,6,6,4,"The Pekingese enjoys a leisurely walk outdoors, but she is equally happy to romp inside. She can easily die of heat prostration. She must be kept in air conditioning in warm weather. She is an ideal apartment dog. The coat will mat unless combed at the very least weekly, preferably more often. The over-nose wrinkle should be cleaned daily to avoid infection. The coat around the anus must be inspected daily for soiling. Pekingese tend to snore!",Pekingese,https://www.petfinder.com/images/breeds/dog/2260.jpg,"The Pekingese is decidedly not a sissy lap dog. She is a courageous character that will not start a fight but will not back down from one either. She tends to be aloof around strangers. She is extremely devoted to her family, but is independent and not overly demonstrative. Her stubbornness is legendary. Although playful around family members.",2,2,4,2,2,2,2,2,109,https://www.petfinder.com/dog-breeds/Pekingese
s,2,2,6,4,4,"Despite his small size, the cairn needs outdoor exercise every day, either a moderate walk on leash, a fun game in the yard or an excursion in a safe area. He does best indoors. His wire coat needs combing once weekly, plus stripping of dead hair at least twice yearly.",Cairn Terrier,https://www.petfinder.com/images/breeds/dog/1920.jpg,"The cairn is the essence of terrier; plucky, spirited, bold, inquisitive, hardy, clever, stubborn and scrappy. He is responsive to the wishes of his people, however, and tries to please; in fact, he is surprisingly sensitive. This breed is a good house pet as long as he is given daily physical and mental exercise in a safe area. He enjoys playing with children and is tough enough to withstand some roughhousing. He can chase small animals, he loves to sniff, explore and hunt. He digs; some bark.",5,4,4,2,2,4,4,4,41,https://www.petfinder.com/dog-breeds/Cairn-Terrier
s,4,4,6,3,4,"The pug needs daily exercise, either in the form of a lively game or a moderate walk on leash. He does not do well in heat and humidity and should not be kept outdoors. He needs minimal coat care but daily cleaning of facial wrinkles. His smooth coat needs only occasional brushing to remove dead hairs; however, the wrinkles need regular cleaning and drying to prevent skin infections. The pug wheezes and snores.",Pug,https://www.petfinder.com/images/breeds/dog/2290.jpg,"A delightful blend of dignity and comedy, the pug is an amiable, playful and confident companion. He can be stubborn and headstrong, but he is pleasant and generally willing to please. He loves to cavort and show off.",4,5,4,3,2,2,3,5,119,https://www.petfinder.com/dog-breeds/Pug
s,4,5,5,5,4,"The Westie needs either a short to moderate walk on leash or a good game in the yard every day. Her wire coat needs combing two or three times weekly, plus shaping every three months. Shaping for pets is by clipping or stripping. In some areas, it may be difficult to keep her coat white.",West Highland White Terrier,https://www.petfinder.com/images/breeds/dog/2110.jpg,"The busy Westie is happy, curious and always in the thick of things. She is affectionate and demanding, one of the friendliest terriers. She is not friendly, however, toward small animals. She enjoys a daily romp in a safe area or a walk on lead, as well as playtime at home. She is independent and somewhat stubborn and may bark and dig.",5,4,4,5,2,4,4,6,148,https://www.petfinder.com/dog-breeds/West-Highland-White-Terrier
s,2,2,6,5,4,"The spunky Lakeland makes the most of every day, always busy investigating, playing, hunting, running and chasing. Given daily exercise in a safe area, he settles down in the home and makes an entertaining and endearing friend. Clever, independent and stubborn, he can be mischievous. He is nonetheless sensitive and must be trained with patience as well as a sense of humor.",Lakeland Terrier,https://www.petfinder.com/images/breeds/dog/1970.jpg,"This is an active breed that needs daily entertainment or he will make it for himself. A moderate walk on leash or a hardy game in the yard can usually satisfy his needs, but he also enjoys the chance to explore off leash in a safe area. His wire coat needs combing one or two times weekly, plus scissoring and shaping four times yearly.",5,6,2,2,2,4,4,4,92,https://www.petfinder.com/dog-breeds/Lakeland-Terrier
s,3,5,6,2,4,"Energetic, inquisitive, bold, feisty, playful, mischievous, independent and adventurous describe the fox terrier. This breed lives to run, chase and explore. He is usually fairly reserved with strangers and tends to bark and dig.",Smooth Fox Terrier,https://www.petfinder.com/images/breeds/dog/2070.jpg,"The smooth fox terrier is energetic and cannot be ignored. As an active dog, he will do much to exercise himself given the room. He enjoys a vigorous game or walk, as well as an off-lead outing in a safe area. He does best living in the house and playing in the yard. Smooth coat care consists of weekly brushing to remove shedding hair. In fact, the smooths shed more than the wires.",5,5,4,5,2,4,4,5,136,https://www.petfinder.com/dog-breeds/Smooth-Fox-Terrier
s,3,5,6,5,4,"The fox terrier must have daily exercise. He will do much to exercise himself given the room, but he profits from a good walk on leash, a vigorous play session or an off-lead outing in a safe area. He does better as an indoor dog with access to a secure yard. The wire's coat needs combing two or three times weekly, plus shaping every three months. Shaping for pets is by clipping or stripping.",Wire Fox Terrier,https://www.petfinder.com/images/breeds/dog/2120.jpg,"A true ""live-wire,"" the wire fox terrier is always up for adventure. This breed lives to play, explore, run, hunt and chase. He can be mischievous and independent and may dig and bark. He is usually fairly reserved with strangers.",5,5,2,5,2,4,4,5,150,https://www.petfinder.com/dog-breeds/Wire-Fox-Terrier
s,3,3,6,6,4,"The Bedlington is among the softer terriers, not only in looks and feel but in temperament. She is companionable, demonstrative and loyal. She enjoys her creature comforts and is a fairly quiet house dog. She may give chase to small animals outdoors, but she can usually coexist with them indoors.",Bedlington Terrier,https://www.petfinder.com/images/breeds/dog/1890.jpg,"The Bedlington needs daily exercise in a safe place; she loves to run and chase. Her needs can be met with a good long walk or vigorous romp. This is not a breed that should live outside. Her coat needs combing once or twice weekly, plus scissoring to shape the coat every other month. Hair that is shed tends to cling to the other hair rather than shedding.",4,4,4,5,2,4,4,4,21,https://www.petfinder.com/dog-breeds/Bedlington-Terrier
xl,5,4,6,2,4,"The mastiff is innately good-natured, calm, easygoing and surprisingly gentle. He is a well-mannered house pet, but needs sufficient room to stretch out. This is an extremely loyal breed, and though not excessively demonstrative, he is devoted to his family and good with children.",Mastiff,https://www.petfinder.com/images/breeds/dog/2460.jpg,"The adult mastiff needs daily moderate exercise, consisting of either a good walk or game. He does not enjoy hot weather; in fact he is a breed that should live inside with his family so that he will be inclined to fulfill his role of devoted guardian. He tends to drool. Coat care is minimal.",2,2,4,3,5,3,3,5,98,https://www.petfinder.com/dog-breeds/Mastiff
s,2,4,6,4,5,"This is a hunting dog at heart and enjoys a daily outing, exploring in a safe area. She also needs a short to moderate walk to stay in shape. The Skye enjoys life as a house dog, and prefers not to live outdoors. Regular combing (about twice a week) is all that is needed to keep the Skye looking good. An occasional bath will not soften the coat too much, as is often the case with other terriers. The hair around the eyes and mouth may need extra cleaning.",Skye Terrier,https://www.petfinder.com/images/breeds/dog/2060.jpg,"The Skye terrier's soft look belies her tough nature. She is a fearless and a deadly rodent hunter. She is also a mild-mannered house pet. She still needs daily exercise in a safe area or on leash, however. She is sensitive yet stubborn. The Skye is affectionate with her family but cautious with strangers. She gets along fairly well with other dogs in the same household. She is extremely courageous and game and makes a good watchdog.",3,4,2,2,2,3,3,5,135,https://www.petfinder.com/dog-breeds/Skye-Terrier
s,4,3,5,4,4,"The Dandie Dinmont is no ""dandified"" dog; she is rough-and-tumble and ready for the hunt. Yet she functions well as a dignified house pet, affectionate but not doting. She is a loyal companion suitable for people of all ages, but she does need daily exercise to keep her from becoming frustrated. She is intelligent and very independent. Some dig.",Dandie Dinmont Terrier,https://www.petfinder.com/images/breeds/dog/1930.jpg,"The Dandie enjoys the chance to hunt around and explore in a safe area and needs a moderate walk to stay in condition. She does best as an indoor/outdoor dog, and should sleep inside. Her coat needs combing twice weekly, plus regular scissoring and shaping. Shaping for show dogs is done on an almost continual (but light) basis; that for pets can be done by stripping or clipping about four times a year.",4,4,4,2,2,4,4,4,56,https://www.petfinder.com/dog-breeds/Dandie-Dinmont-Terrier
m,6,2,5,2,4,"The Beagle needs daily exercise, either a long walk on leash or a romp in a safe area. He is a social dog and needs the companionship of either other dogs or his human family; as such, he is usually happiest if he can divide his time between the house and yard.",Beagle,https://www.petfinder.com/images/breeds/dog/1220.jpg,"One of the most amiable hounds, the Beagle was bred as a pack hunter and needs companionship, whether human or canine. He loves to explore the outdoors and is an enthusiastic trailer. Given adequate exercise, he is a calm, tractable house pet. He is an excellent child's dog, gentle, incredibly tolerant and always ready to join in a game or an adventure. He is an independent breed, however, and may run off if a trail beckons. He barks and howls.",4,4,6,6,2,4,4,6,19,https://www.petfinder.com/dog-breeds/Beagle
s,4,2,6,4,4,"Nicknamed the Diehard in reference to her rugged character, the Scottish terrier is a tough, determined character, ready for action. She is fearless and feisty. She is reserved, but friendly, with strangers, and devoted to her family. Although independent and stubborn, she is sensitive. She tends to dig and bark.",Scottish Terrier,https://www.petfinder.com/images/breeds/dog/2040.jpg,"This is a dog on the lookout for adventure, and she needs some excitement and exercise in her life every day. This can take the form of a moderate walk on leash, a boisterous game or an off-leash exploration in a safe area. She is best suited as a house dog with access to a yard. Her wire coat needs combing two to three times weekly, plus shaping every three months. Shaping for pets is by clipping.",4,4,4,4,3,2,4,4,128,https://www.petfinder.com/dog-breeds/Scottish-Terrier
s,5,6,6,5,4,"The Shetland Sheepdog is extremely bright, sensitive and willing to please. This combination makes for a dog that is very obedient, quick to learn and utterly devoted to his family. He is not only gentle, playful, amiable and companionable, but also excellent with children, although he can nip at heels in play. He barks a lot.",Shetland Sheepdog,https://www.petfinder.com/images/breeds/dog/1150.jpg,"The Sheltie is energetic, but his exercise needs can be met with a good walk, short jog or active game and training session. He is too attached to his family to do well separated from them so the Sheltie should be a house dog. His thick coat needs brushing or combing every other day.",4,4,5,2,2,4,4,4,130,https://www.petfinder.com/dog-breeds/Shetland-Sheepdog
s,4,4,5,5,4,"Gentle and amiable, the Tibetan Terrier makes a charming, dependable companion both indoors and out. He is equally up for an adventure in the field, a game in the yard or a snooze in the house. He is sensitive, very companionable and willing to please.",Tibetan Terrier,https://www.petfinder.com/images/breeds/dog/1600.jpg,"The Tibetan Terrier likes to run and explore, and needs daily exercise in a safe area. His needs can also be met by a vigorous game in the yard or a moderately long walk on leash. He is best as an indoor, or indoor/outdoor, dog. His long coat needs thorough brushing or combing once or twice a week.",4,4,4,3,2,4,4,5,143,https://www.petfinder.com/dog-breeds/Tibetan-Terrier
